route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
Puerto Vallarta_2_Puerto Vallarta,2_Puerto Vallarta_Puerto Vallarta_2_Puerto Vallarta,2,shape_573,weekday,5,1
Puerto Vallarta_11_Puerto Vallarta,11_Puerto Vallarta_Puerto Vallarta_11_Puerto Vallarta,2,shape_624,weekday,5,1
Ruta Modelo_13_Ruta Modelo,13_Ruta Modelo_Ruta Modelo_13_Ruta Modelo,2,shape_512,weekday,5,1
Puerto Vallarta_13_Puerto Vallarta,13_Puerto Vallarta_Puerto Vallarta_13_Puerto Vallarta,2,shape_626,weekday,5,1
_15_,15___15_,2,shape_508,weekday,5,1
_19_,19___19_,2,shape_407,weekday,5,1
A_19_A,19_A_A_19_A,2,shape_409,weekday,5,1
Puerto Vallarta_21_Puerto Vallarta,21_Puerto Vallarta_Puerto Vallarta_21_Puerto Vallarta,2,shape_627,weekday,5,1
A Vía 2_24_A Vía 2,24_A Vía 2_A Vía 2_24_A Vía 2,2,shape_561,weekday,5,1
A Vía Magdalena_24_A Vía Magdalena,24_A Vía Magdalena_A Vía Magdalena_24_A Vía Magdalena,2,shape_562,weekday,5,1
_24_,24___24_,2,shape_494,weekday,5,1
_25_,25___25_,2,shape_408,weekday,5,1
_27_,27___27_,2,shape_566,weekday,5,1
A_27_A,27_A_A_27_A,2,shape_567,weekday,5,1
A_30_A,30_A_A_30_A,2,shape_571,weekday,5,1
Directo_30_Directo,30_Directo_Directo_30_Directo,2,shape_572,weekday,5,1
Versalles - Puerto Vallarta_31_Versalles - Puerto Vallarta,31_Versalles - Puerto Vallarta_Versalles - Puerto Vallarta_31_Versalles - Puerto Vallarta,2,shape_663,weekday,5,1
_33_,33___33_,2,shape_575,weekday,5,1
A_33_A,33_A_A_33_A,2,shape_576,weekday,5,1
_37_,37___37_,2,shape_586,weekday,5,1
A_37_A,37_A_A_37_A,2,shape_587,weekday,5,1
Vía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz,37_Vía Fraccionamiento La Cruz_Vía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz,2,shape_594,weekday,5,1
_39_,39___39_,2,shape_599,weekday,5,1
A Vía Base Aérea_39_A Vía Base Aérea,39_A Vía Base Aérea_A Vía Base Aérea_39_A Vía Base Aérea,2,shape_600,weekday,5,1
A Vía Periférico_39_A Vía Periférico,39_A Vía Periférico_A Vía Periférico_39_A Vía Periférico,2,shape_601,weekday,5,1
A Vía Directa Antonio Caso_45_A Vía Directa Antonio Caso,45_A Vía Directa Antonio Caso_A Vía Directa Antonio Caso_45_A Vía Directa Antonio Caso,2,shape_602,weekday,5,1
A Vía Tetlán_45_A Vía Tetlán,45_A Vía Tetlán_A Vía Tetlán_45_A Vía Tetlán,2,shape_603,weekday,5,1
Vía Centro_45_Vía Centro,45_Vía Centro_Vía Centro_45_Vía Centro,2,shape_604,weekday,5,1
Vía Nuevo Zalatitán_45_Vía Nuevo Zalatitán,45_Vía Nuevo Zalatitán_Vía Nuevo Zalatitán_45_Vía Nuevo Zalatitán,2,shape_605,weekday,5,1
Vía Vallarta_45_Vía Vallarta,45_Vía Vallarta_Vía Vallarta_45_Vía Vallarta,2,shape_606,weekday,5,1
_50_,50___50_,2,shape_607,weekday,5,1
A_50_A,50_A_A_50_A,2,shape_608,weekday,5,1
B_50_B,50_B_B_50_B,2,shape_609,weekday,5,1
C_51_C,51_C_C_51_C,2,shape_410,weekday,5,1
B Felipe Ruvalcaba – Tepeyac_51_B Felipe Ruvalcaba – Tepeyac,51_B Felipe Ruvalcaba – Tepeyac_B Felipe Ruvalcaba – Tepeyac_51_B Felipe Ruvalcaba – Tepeyac,2,shape_411,weekday,5,1
_51_,51___51_,2,shape_412,weekday,5,1
B Moctezuma – Tepeyac_51_B Moctezuma – Tepeyac,51_B Moctezuma – Tepeyac_B Moctezuma – Tepeyac_51_B Moctezuma – Tepeyac,2,shape_413,weekday,5,1
D Fortin – Tepeyac_51_D Fortin – Tepeyac,51_D Fortin – Tepeyac_D Fortin – Tepeyac_51_D Fortin – Tepeyac,2,shape_504,weekday,5,1
D Tizate – Tepeyac_51_D Tizate – Tepeyac,51_D Tizate – Tepeyac_D Tizate – Tepeyac_51_D Tizate – Tepeyac,2,shape_505,weekday,5,1
A Floresta – Guadalupe_51_A Floresta – Guadalupe,51_A Floresta – Guadalupe_A Floresta – Guadalupe_51_A Floresta – Guadalupe,2,shape_506,weekday,5,1
A Miramar – Guadalupe_51_A Miramar – Guadalupe,51_A Miramar – Guadalupe_A Miramar – Guadalupe_51_A Miramar – Guadalupe,2,shape_507,weekday,5,1
_52_,52___52_,2,shape_610,weekday,5,1
A Vía Santa Rita_52_A Vía Santa Rita,52_A Vía Santa Rita_A Vía Santa Rita_52_A Vía Santa Rita,2,shape_611,weekday,5,1
B_52_B,52_B_B_52_B,2,shape_612,weekday,5,1
C Vía Guayabitos_52_C Vía Guayabitos,52_C Vía Guayabitos_C Vía Guayabitos_52_C Vía Guayabitos,2,shape_613,weekday,5,1
D_52_D,52_D_D_52_D,2,shape_614,weekday,5,1
_54_,54___54_,2,shape_615,weekday,5,1
A_54_A,54_A_A_54_A,2,shape_616,weekday,5,1
_55_,55___55_,2,shape_488,weekday,5,1
_59_,59___59_,2,shape_617,weekday,5,1
A_59_A,59_A_A_59_A,2,shape_618,weekday,5,1
_61_,61___61_,2,shape_619,weekday,5,1
_63_,63___63_,2,shape_638,weekday,5,1
_66_,66___66_,2,shape_639,weekday,5,1
C_78_C,78_C_C_78_C,2,shape_643,weekday,5,1
_78_,78___78_,2,shape_501,weekday,5,1
B_80_B,80_B_B_80_B,2,shape_640,weekday,5,1
A_80_A,80_A_A_80_A,2,shape_641,weekday,5,1
_80_,80___80_,2,shape_642,weekday,5,1
Vía 1_101_Vía 1,101_Vía 1_Vía 1_101_Vía 1,2,shape_415,weekday,5,1
Vía 2_101_Vía 2,101_Vía 2_Vía 2_101_Vía 2,2,shape_502,weekday,5,1
_110_,110___110_,2,shape_500,weekday,5,1
A_110_A,110_A_A_110_A,2,shape_510,weekday,5,1
A_128_A,128_A_A_128_A,2,shape_511,weekday,5,1
_136_,136___136_,2,shape_513,weekday,5,1
A_136_A,136_A_A_136_A,2,shape_514,weekday,5,1
A_142_A,142_A_A_142_A,2,shape_515,weekday,5,1
_142_,142___142_,2,shape_414,weekday,5,1
A_153_A,153_A_A_153_A,2,shape_516,weekday,5,1
CTM_153_CTM,153_CTM_CTM_153_CTM,2,shape_517,weekday,5,1
_156_,156___156_,2,shape_518,weekday,5,1
_160_,160___160_,2,shape_519,weekday,5,1
_161_,161___161_,2,shape_520,weekday,5,1
_162_,162___162_,2,shape_521,weekday,5,1
_163_,163___163_,2,shape_522,weekday,5,1
_165_,165___165_,2,shape_491,weekday,5,1
_166_,166___166_,2,shape_490,weekday,5,1
_167_,167___167_,2,shape_489,weekday,5,1
_169_,169___169_,2,shape_523,weekday,5,1
B_170_B,170_B_B_170_B,2,shape_524,weekday,5,1
Vía Santa Fe_171_Vía Santa Fe,171_Vía Santa Fe_Vía Santa Fe_171_Vía Santa Fe,2,shape_417,weekday,5,1
Vía Valle Dorado_171_Vía Valle Dorado,171_Vía Valle Dorado_Vía Valle Dorado_171_Vía Valle Dorado,2,shape_418,weekday,5,1
_172_,172___172_,2,shape_525,weekday,5,1
_174_,174___174_,2,shape_416,weekday,5,1
A_175_A,175_A_A_175_A,2,shape_526,weekday,5,1
A Gavilanes_175_A Gavilanes,175_A Gavilanes_A Gavilanes_175_A Gavilanes,2,shape_527,weekday,5,1
Vía Santa Anita_175_Vía Santa Anita,175_Vía Santa Anita_Vía Santa Anita_175_Vía Santa Anita,2,shape_528,weekday,5,1
VSS_175_VSS,175_VSS_VSS_175_VSS,2,shape_529,weekday,5,1
_176_,176___176_,2,shape_530,weekday,5,1
A Vía Chula Vista_176_A Vía Chula Vista,176_A Vía Chula Vista_A Vía Chula Vista_176_A Vía Chula Vista,2,shape_531,weekday,5,1
A Vía Robles_176_A Vía Robles,176_A Vía Robles_A Vía Robles_176_A Vía Robles,2,shape_532,weekday,5,1
B_176_B,176_B_B_176_B,2,shape_533,weekday,5,1
C_176_C,176_C_C_176_C,2,shape_534,weekday,5,1
A_177_A,177_A_A_177_A,2,shape_535,weekday,5,1
Vía 1_177_Vía 1,177_Vía 1_Vía 1_177_Vía 1,2,shape_536,weekday,5,1
Vía 2_177_Vía 2,177_Vía 2_Vía 2_177_Vía 2,2,shape_537,weekday,5,1
A Vía 1_178_A Vía 1,178_A Vía 1_A Vía 1_178_A Vía 1,2,shape_538,weekday,5,1
A Vía 2_178_A Vía 2,178_A Vía 2_A Vía 2_178_A Vía 2,2,shape_539,weekday,5,1
Vía 1_178_Vía 1,178_Vía 1_Vía 1_178_Vía 1,2,shape_540,weekday,5,1
Vía 2_178_Vía 2,178_Vía 2_Vía 2_178_Vía 2,2,shape_541,weekday,5,1
