route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
74,Isleta Pérez,2,shape_74,weekday,5,1
76,Cascajal,2,shape_76,weekday,5,1
81,Golfo,2,shape_81,weekday,5,1
89A,Altamira - Tampiquito por Soriana,2,shape_89A,weekday,5,1
67,Central Camionera - Madero,2,shape_67,weekday,5,1
82,Bellavista,2,shape_82,weekday,5,1
66,Madero - El Blanco,2,shape_66,weekday,5,1
75,Morelos - Moralillo,2,shape_75,weekday,5,1
59,Águila - Madero,2,shape_59,weekday,5,1
56,Bellavista,2,shape_56,weekday,5,1
73,Central Camionera por Perimetral,2,shape_73,weekday,5,1
85,Madero Polvorín,2,shape_85,weekday,5,1
71,Galeana por Sección 21,2,shape_71,weekday,5,1
69,Madero - Candelario Garza,2,shape_69,weekday,5,1
72,Colonias,2,shape_72,weekday,5,1
88,Altamira - Batería 7 Ampliación. Adolfo López Mateos,2,shape_88,weekday,5,1
61,Obrera - Penal,2,shape_61,weekday,5,1
77,Madero - Universidad,2,shape_77,weekday,5,1
65,Águila,2,shape_65,weekday,5,1
64,Madero - Barra,2,shape_64,weekday,5,1
62,Obrera - Madero,2,shape_62,weekday,5,1
112,Cuauhtémoc - Mariano - Matamoros,2,shape_112,weekday,5,1
68,Madero,2,shape_68,weekday,5,1
60,Madero - Blanco Palmas,2,shape_60,weekday,5,1
84,Moralillo Veracruz.,2,shape_84,weekday,5,1
88A,Altamira - Batería 7 - Los Presidentes,2,shape_88A,weekday,5,1
87,Madero - Heriberto Kehoe - Las Flores,2,shape_87,weekday,5,1
89,Altamira. Gpe. Victoria - Los Presidentes,2,shape_89,weekday,5,1
32,Madero - Heriberto Kehoe - Las Flores,2,shape_32,weekday,5,1
58,Madero - Rev. Verde,2,shape_58,weekday,5,1
63,Seguro Social - Lomas de Infonavit,2,shape_63,weekday,5,1
12,Morelos - Moralillo,2,shape_12,weekday,5,1
27,Tampico - Santa Elena,2,shape_27,weekday,5,1
80,Universidad,2,shape_80,weekday,5,1
8,Seguro Social - Lomas de Infonavit,2,shape_8,weekday,5,1
117,Altamira - San Jacinto - Paseo del Real,2,shape_117,weekday,5,1
86,Águila Echeverría,2,shape_86,weekday,5,1
44,Obrera por Republica de Cuba,2,shape_44,weekday,5,1
83,Tampico - Playa,2,shape_83,weekday,5,1
70,Germinal por Boulevard,2,shape_70,weekday,5,1
79,MAUN,2,shape_79,weekday,5,1
