route_short_name,route_long_name,route_type,route_id
Puerto Vallarta_2_Puerto Vallarta,2_Puerto Vallarta_Puerto Vallarta_2_Puerto Vallarta,2,rPuerto Vallarta_2_Puerto Vallarta
Puerto Vallarta_11_Puerto Vallarta,11_Puerto Vallarta_Puerto Vallarta_11_Puerto Vallarta,2,rPuerto Vallarta_11_Puerto Vallarta
Ruta Modelo_13_Ruta Modelo,13_Ruta Modelo_Ruta Modelo_13_Ruta Modelo,2,rRuta Modelo_13_Ruta Modelo
Puerto Vallarta_13_Puerto Vallarta,13_Puerto Vallarta_Puerto Vallarta_13_Puerto Vallarta,2,rPuerto Vallarta_13_Puerto Vallarta
_15_,15___15_,2,r_15_
_19_,19___19_,2,r_19_
A_19_A,19_A_A_19_A,2,rA_19_A
Puerto Vallarta_21_Puerto Vallarta,21_Puerto Vallarta_Puerto Vallarta_21_Puerto Vallarta,2,rPuerto Vallarta_21_Puerto Vallarta
A Vía 2_24_A Vía 2,24_A Vía 2_A Vía 2_24_A Vía 2,2,rA Vía 2_24_A Vía 2
A Vía Magdalena_24_A Vía Magdalena,24_A Vía Magdalena_A Vía Magdalena_24_A Vía Magdalena,2,rA Vía Magdalena_24_A Vía Magdalena
_24_,24___24_,2,r_24_
_25_,25___25_,2,r_25_
_27_,27___27_,2,r_27_
A_27_A,27_A_A_27_A,2,rA_27_A
A_30_A,30_A_A_30_A,2,rA_30_A
_33_,33___33_,2,r_33_
A_33_A,33_A_A_33_A,2,rA_33_A
_37_,37___37_,2,r_37_
A_37_A,37_A_A_37_A,2,rA_37_A
Vía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz,37_Vía Fraccionamiento La Cruz_Vía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz,2,rVía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz
_39_,39___39_,2,r_39_
A Vía Base Aérea_39_A Vía Base Aérea,39_A Vía Base Aérea_A Vía Base Aérea_39_A Vía Base Aérea,2,rA Vía Base Aérea_39_A Vía Base Aérea
