trip_id,stop_id,stop_sequence,arrival_time,departure_time,shape_dist_traveled
t-r_19_-weekday-06:00:00-1-0,shape_409-1-0,0,06:00:00,06:00:00,0.000000
t-r_19_-weekday-06:00:00-1-0,shape_617-1-0,1,08:42:55,08:42:55,40732.000000
t-r_19_-weekday-06:00:00-1-1,shape_409-1-0,0,06:12:00,06:12:00,0.000000
t-r_19_-weekday-06:00:00-1-1,shape_617-1-0,1,08:54:55,08:54:55,40732.000000
t-r_19_-weekday-06:00:00-1-2,shape_409-1-0,0,06:24:00,06:24:00,0.000000
t-r_19_-weekday-06:00:00-1-2,shape_617-1-0,1,09:06:55,09:06:55,40732.000000
t-r_19_-weekday-06:00:00-1-3,shape_409-1-0,0,06:36:00,06:36:00,0.000000
t-r_19_-weekday-06:00:00-1-3,shape_617-1-0,1,09:18:55,09:18:55,40732.000000
t-r_19_-weekday-06:00:00-1-4,shape_409-1-0,0,06:48:00,06:48:00,0.000000
t-r_19_-weekday-06:00:00-1-4,shape_617-1-0,1,09:30:55,09:30:55,40732.000000
t-r_19_-weekday-06:00:00-1-5,shape_409-1-0,0,07:00:00,07:00:00,0.000000
t-r_19_-weekday-06:00:00-1-5,shape_617-1-0,1,09:42:55,09:42:55,40732.000000
t-r_19_-weekday-06:00:00-1-6,shape_409-1-0,0,07:12:00,07:12:00,0.000000
t-r_19_-weekday-06:00:00-1-6,shape_617-1-0,1,09:54:55,09:54:55,40732.000000
t-r_19_-weekday-06:00:00-1-7,shape_409-1-0,0,07:24:00,07:24:00,0.000000
t-r_19_-weekday-06:00:00-1-7,shape_617-1-0,1,10:06:55,10:06:55,40732.000000
t-r_19_-weekday-06:00:00-1-8,shape_409-1-0,0,07:36:00,07:36:00,0.000000
t-r_19_-weekday-06:00:00-1-8,shape_617-1-0,1,10:18:55,10:18:55,40732.000000
t-r_19_-weekday-06:00:00-1-9,shape_409-1-0,0,07:48:00,07:48:00,0.000000
t-r_19_-weekday-06:00:00-1-9,shape_617-1-0,1,10:30:55,10:30:55,40732.000000
t-r_19_-weekday-06:00:00-1-10,shape_409-1-0,0,08:00:00,08:00:00,0.000000
t-r_19_-weekday-06:00:00-1-10,shape_617-1-0,1,10:42:55,10:42:55,40732.000000
t-r_19_-weekday-06:00:00-1-11,shape_409-1-0,0,08:12:00,08:12:00,0.000000
t-r_19_-weekday-06:00:00-1-11,shape_617-1-0,1,10:54:55,10:54:55,40732.000000
t-r_19_-weekday-06:00:00-1-12,shape_409-1-0,0,08:24:00,08:24:00,0.000000
t-r_19_-weekday-06:00:00-1-12,shape_617-1-0,1,11:06:55,11:06:55,40732.000000
t-r_19_-weekday-06:00:00-1-13,shape_409-1-0,0,08:36:00,08:36:00,0.000000
t-r_19_-weekday-06:00:00-1-13,shape_617-1-0,1,11:18:55,11:18:55,40732.000000
t-r_19_-weekday-06:00:00-1-14,shape_409-1-0,0,08:48:00,08:48:00,0.000000
t-r_19_-weekday-06:00:00-1-14,shape_617-1-0,1,11:30:55,11:30:55,40732.000000
t-r_25_-weekday-06:00:00-1-0,shape_408-1-1,0,06:00:00,06:00:00,2.000000
t-r_25_-weekday-06:00:00-1-0,shape_523-1-0,1,06:48:33,06:48:33,12142.000000
t-r_25_-weekday-06:00:00-1-0,shape_523-1-1,2,06:48:33,06:48:33,12143.000000
t-r_25_-weekday-06:00:00-1-0,shape_450-1-1,3,08:54:31,08:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-0,shape_451-1-1,4,08:54:31,08:54:31,43634.000000
t-r_25_-weekday-06:00:00-1-0,shape_490-1-0,5,08:54:32,08:54:32,43636.000000
t-r_25_-weekday-06:00:00-1-0,shape_490-1-1,6,08:54:33,08:54:33,43641.000000
t-r_25_-weekday-06:00:00-1-0,shape_491-1-0,7,08:54:34,08:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-0,shape_489-1-0,8,08:54:34,08:54:34,43644.000000
t-r_25_-weekday-06:00:00-1-0,shape_450-1-0,9,08:54:35,08:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-0,shape_451-1-0,10,08:54:35,08:54:35,43649.000000
t-r_25_-weekday-06:00:00-1-0,shape_650-1-1,11,08:59:04,08:59:04,44770.000000
t-r_25_-weekday-06:00:00-1-0,shape_650-1-0,12,08:59:04,08:59:04,44771.000000
t-r_25_-weekday-06:00:00-1-0,shape_431-1-0,13,09:10:30,09:10:30,47629.000000
t-r_25_-weekday-06:00:00-1-0,shape_431-1-1,14,09:10:31,09:10:31,47633.000000
t-r_25_-weekday-06:00:00-1-0,shape_574-1-1,15,09:21:39,09:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-0,shape_574-1-0,16,09:21:39,09:21:39,50415.000000
t-r_25_-weekday-06:00:00-1-0,shape_408-1-0,17,09:44:47,09:44:47,56200.000000
