stop_id,stop_name,stop_lon,stop_lat
shape_407-1-0,stop shape_407-1-0,-103.430743,20.726959
shape_408-1-0,stop shape_408-1-0,-103.262302,20.693524
shape_408-1-1,stop shape_408-1-1,-103.262340,20.693506
shape_409-1-0,stop shape_409-1-0,-103.430793,20.726981
shape_410-1-0,stop shape_410-1-0,-103.251881,20.631177
shape_410-1-1,stop shape_410-1-1,-103.251884,20.631192
shape_411-1-0,stop shape_411-1-0,-103.349122,20.668716
shape_411-1-1,stop shape_411-1-1,-103.349125,20.668754
shape_412-1-0,stop shape_412-1-0,-103.239022,20.627476
shape_412-1-1,stop shape_412-1-1,-103.239066,20.627532
shape_413-1-0,stop shape_413-1-0,-103.349122,20.668716
shape_413-1-1,stop shape_413-1-1,-103.349125,20.668754
shape_414-1-1,stop shape_414-1-1,-103.351872,20.731572
shape_415-1-0,stop shape_415-1-0,-103.475921,20.640114
shape_415-1-1,stop shape_415-1-1,-103.475921,20.640094
shape_416-1-0,stop shape_416-1-0,-103.308275,20.710583
shape_416-1-1,stop shape_416-1-1,-103.308310,20.710584
shape_417-1-0,stop shape_417-1-0,-103.346433,20.667582
shape_417-1-1,stop shape_417-1-1,-103.346438,20.667520
shape_418-1-0,stop shape_418-1-0,-103.354418,20.491656
shape_418-1-1,stop shape_418-1-1,-103.354414,20.491652
shape_419-1-0,stop shape_419-1-0,-103.314691,20.721776
shape_420-1-0,stop shape_420-1-0,-103.347231,20.673576
shape_421-1-0,stop shape_421-1-0,-103.398647,20.760020
shape_421-1-1,stop shape_421-1-1,-103.398648,20.760030
shape_422-1-0,stop shape_422-1-0,-103.297683,20.711078
shape_422-1-1,stop shape_422-1-1,-103.297721,20.711036
shape_423-1-0,stop shape_423-1-0,-103.346442,20.674435
shape_423-1-1,stop shape_423-1-1,-103.346412,20.674392
shape_424-1-0,stop shape_424-1-0,-103.384808,20.676855
shape_424-1-1,stop shape_424-1-1,-103.384808,20.676835
shape_425-1-0,stop shape_425-1-0,-103.350612,20.674248
shape_425-1-1,stop shape_425-1-1,-103.350462,20.676508
shape_426-1-0,stop shape_426-1-0,-103.354591,20.613824
shape_426-1-1,stop shape_426-1-1,-103.354900,20.613816
shape_427-1-0,stop shape_427-1-0,-103.229285,20.632255
shape_427-1-1,stop shape_427-1-1,-103.229255,20.632295
shape_428-1-0,stop shape_428-1-0,-103.214637,20.665453
shape_428-1-1,stop shape_428-1-1,-103.214587,20.665495
shape_429-1-0,stop shape_429-1-0,-103.346448,20.673658
shape_429-1-1,stop shape_429-1-1,-103.346397,20.673673
shape_430-1-0,stop shape_430-1-0,-103.304412,20.718390
shape_430-1-1,stop shape_430-1-1,-103.304455,20.718347
shape_431-1-0,stop shape_431-1-0,-103.323262,20.693910
shape_431-1-1,stop shape_431-1-1,-103.323248,20.693830
shape_432-1-0,stop shape_432-1-0,-103.282881,20.625729
shape_432-1-1,stop shape_432-1-1,-103.281984,20.625408
shape_433-1-0,stop shape_433-1-0,-103.252693,20.604564
shape_433-1-1,stop shape_433-1-1,-103.252703,20.604696
shape_434-1-0,stop shape_434-1-0,-103.252692,20.604567
shape_434-1-1,stop shape_434-1-1,-103.252721,20.604601
shape_435-1-0,stop shape_435-1-0,-103.247044,20.622378
shape_435-1-1,stop shape_435-1-1,-103.247097,20.622397
shape_436-1-0,stop shape_436-1-0,-103.246954,20.622377
shape_436-1-1,stop shape_436-1-1,-103.247058,20.622419
shape_437-1-0,stop shape_437-1-0,-103.336240,20.675364
shape_437-1-1,stop shape_437-1-1,-103.336276,20.675332
shape_438-1-1,stop shape_438-1-1,-103.336287,20.675383
shape_439-1-0,stop shape_439-1-0,-103.347215,20.669966
shape_439-1-1,stop shape_439-1-1,-103.347247,20.670008
shape_440-1-0,stop shape_440-1-0,-103.368512,20.665191
shape_440-1-1,stop shape_440-1-1,-103.368563,20.665166
shape_441-1-0,stop shape_441-1-0,-103.357335,20.659766
shape_441-1-1,stop shape_441-1-1,-103.357975,20.659936
shape_442-1-0,stop shape_442-1-0,-103.368492,20.665199
shape_442-1-1,stop shape_442-1-1,-103.368557,20.665168
shape_443-1-0,stop shape_443-1-0,-103.357384,20.659707
shape_443-1-1,stop shape_443-1-1,-103.357948,20.659878
shape_444-1-0,stop shape_444-1-0,-103.355593,20.675715
shape_444-1-1,stop shape_444-1-1,-103.355580,20.675665
shape_445-1-0,stop shape_445-1-0,-103.354772,20.675731
shape_445-1-1,stop shape_445-1-1,-103.354782,20.675730
shape_446-1-0,stop shape_446-1-0,-103.352448,20.673465
shape_446-1-1,stop shape_446-1-1,-103.352473,20.673520
shape_447-1-0,stop shape_447-1-0,-103.352448,20.673465
shape_447-1-1,stop shape_447-1-1,-103.352465,20.673504
shape_448-1-0,stop shape_448-1-0,-103.420108,20.591048
shape_448-1-1,stop shape_448-1-1,-103.420118,20.591030
shape_449-1-0,stop shape_449-1-0,-103.350506,20.660603
shape_449-1-1,stop shape_449-1-1,-103.350514,20.660566
shape_450-1-0,stop shape_450-1-0,-103.348968,20.694700
shape_450-1-1,stop shape_450-1-1,-103.349060,20.694805
shape_451-1-0,stop shape_451-1-0,-103.348968,20.694700
shape_451-1-1,stop shape_451-1-1,-103.349060,20.694805
shape_452-1-0,stop shape_452-1-0,-103.352346,20.676405
shape_452-1-1,stop shape_452-1-1,-103.351458,20.676492
shape_453-1-0,stop shape_453-1-0,-103.351447,20.676475
shape_453-1-1,stop shape_453-1-1,-103.351451,20.676497
shape_454-1-0,stop shape_454-1-0,-103.352346,20.676405
shape_454-1-1,stop shape_454-1-1,-103.351458,20.676492
shape_455-1-0,stop shape_455-1-0,-103.352338,20.676405
shape_455-1-1,stop shape_455-1-1,-103.352341,20.676446
shape_456-1-0,stop shape_456-1-0,-103.388622,20.674931
shape_456-1-1,stop shape_456-1-1,-103.388442,20.675241
shape_457-1-0,stop shape_457-1-0,-103.388622,20.674931
shape_457-1-1,stop shape_457-1-1,-103.388442,20.675241
shape_458-1-0,stop shape_458-1-0,-103.349242,20.682692
shape_458-1-1,stop shape_458-1-1,-103.349267,20.682665
shape_459-1-0,stop shape_459-1-0,-103.419574,20.767999
shape_459-1-1,stop shape_459-1-1,-103.419595,20.768051
shape_460-1-0,stop shape_460-1-0,-103.397819,20.759643
shape_460-1-1,stop shape_460-1-1,-103.397855,20.759585
shape_461-1-0,stop shape_461-1-0,-103.437772,20.763023
shape_461-1-1,stop shape_461-1-1,-103.437816,20.763012
shape_462-1-0,stop shape_462-1-0,-103.461977,20.816905
shape_462-1-1,stop shape_462-1-1,-103.461956,20.816915
shape_463-1-0,stop shape_463-1-0,-103.453210,20.778655
shape_464-1-0,stop shape_464-1-0,-103.352358,20.680561
shape_464-1-1,stop shape_464-1-1,-103.352336,20.680245
shape_465-1-0,stop shape_465-1-0,-103.352388,20.680251
shape_465-1-1,stop shape_465-1-1,-103.352331,20.680231
shape_466-1-0,stop shape_466-1-0,-103.445478,20.640855
shape_466-1-1,stop shape_466-1-1,-103.445740,20.639524
shape_467-1-0,stop shape_467-1-0,-103.328704,20.677827
shape_467-1-1,stop shape_467-1-1,-103.328752,20.677837
shape_468-1-0,stop shape_468-1-0,-103.448125,20.642436
shape_468-1-1,stop shape_468-1-1,-103.448090,20.642386
shape_469-1-0,stop shape_469-1-0,-103.348460,20.681945
shape_469-1-1,stop shape_469-1-1,-103.349230,20.681855
shape_470-1-0,stop shape_470-1-0,-103.348472,20.681944
shape_470-1-1,stop shape_470-1-1,-103.349241,20.681944
shape_471-1-0,stop shape_471-1-0,-103.326793,20.760561
shape_471-1-1,stop shape_471-1-1,-103.326625,20.761399
shape_472-1-0,stop shape_472-1-0,-103.349754,20.775863
shape_472-1-1,stop shape_472-1-1,-103.351236,20.776412
shape_473-1-0,stop shape_473-1-0,-103.347814,20.683653
shape_473-1-1,stop shape_473-1-1,-103.347804,20.683653
shape_474-1-0,stop shape_474-1-0,-103.325864,20.761257
shape_474-1-1,stop shape_474-1-1,-103.326544,20.761417
shape_475-1-0,stop shape_475-1-0,-103.259812,20.671814
shape_475-1-1,stop shape_475-1-1,-103.259836,20.671798
shape_476-1-0,stop shape_476-1-0,-103.348678,20.684477
shape_476-1-1,stop shape_476-1-1,-103.348615,20.684433
shape_477-1-0,stop shape_477-1-0,-103.223272,20.588518
shape_477-1-1,stop shape_477-1-1,-103.223273,20.588600
shape_479-1-0,stop shape_479-1-0,-103.292398,20.563690
shape_479-1-1,stop shape_479-1-1,-103.293427,20.564139
shape_480-1-0,stop shape_480-1-0,-103.308001,20.559079
shape_481-1-0,stop shape_481-1-0,-103.353676,20.619067
shape_481-1-1,stop shape_481-1-1,-103.353711,20.619097
shape_482-1-0,stop shape_482-1-0,-103.321818,20.605274
shape_482-1-1,stop shape_482-1-1,-103.321836,20.605203
shape_483-1-0,stop shape_483-1-0,-103.337292,20.609074
shape_483-1-1,stop shape_483-1-1,-103.337282,20.609225
shape_484-1-0,stop shape_484-1-0,-103.312267,20.583807
shape_484-1-1,stop shape_484-1-1,-103.312268,20.583796
shape_485-1-0,stop shape_485-1-0,-103.225552,20.587303
shape_485-1-1,stop shape_485-1-1,-103.225601,20.587315
shape_486-1-0,stop shape_486-1-0,-103.337408,20.609256
shape_486-1-1,stop shape_486-1-1,-103.337358,20.609256
shape_487-1-0,stop shape_487-1-0,-103.290286,20.562583
shape_487-1-1,stop shape_487-1-1,-103.290308,20.562580
shape_488-1-0,stop shape_488-1-0,-103.227368,20.644488
shape_488-1-1,stop shape_488-1-1,-103.227318,20.640838
shape_489-1-0,stop shape_489-1-0,-103.348959,20.694794
shape_490-1-0,stop shape_490-1-0,-103.348990,20.694865
shape_490-1-1,stop shape_490-1-1,-103.348967,20.694820
shape_491-1-0,stop shape_491-1-0,-103.348959,20.694794
shape_492-1-0,stop shape_492-1-0,-103.292101,20.603145
shape_492-1-1,stop shape_492-1-1,-103.290398,20.603209
shape_494-1-0,stop shape_494-1-0,-103.435970,20.756335
shape_494-1-1,stop shape_494-1-1,-103.435971,20.756346
shape_495-1-0,stop shape_495-1-0,-103.292101,20.603145
shape_495-1-1,stop shape_495-1-1,-103.290398,20.603209
shape_496-1-0,stop shape_496-1-0,-103.272901,20.618304
shape_496-1-1,stop shape_496-1-1,-103.273762,20.617697
shape_497-1-0,stop shape_497-1-0,-103.500124,20.795442
shape_497-1-1,stop shape_497-1-1,-103.500403,20.795472
shape_498-1-0,stop shape_498-1-0,-103.458391,20.645824
shape_498-1-1,stop shape_498-1-1,-103.458391,20.645804
shape_499-1-0,stop shape_499-1-0,-103.349142,20.681083
shape_499-1-1,stop shape_499-1-1,-103.349178,20.681035
shape_500-1-0,stop shape_500-1-0,-103.321360,20.717269
shape_500-1-1,stop shape_500-1-1,-103.321355,20.717269
shape_501-1-0,stop shape_501-1-0,-103.306727,20.605617
shape_501-1-1,stop shape_501-1-1,-103.306711,20.605601
shape_502-1-0,stop shape_502-1-0,-103.467833,20.640001
shape_502-1-1,stop shape_502-1-1,-103.467878,20.639985
shape_504-1-0,stop shape_504-1-0,-103.349122,20.668716
shape_504-1-1,stop shape_504-1-1,-103.349125,20.668754
shape_505-1-0,stop shape_505-1-0,-103.349122,20.668716
shape_505-1-1,stop shape_505-1-1,-103.349125,20.668754
shape_506-1-0,stop shape_506-1-0,-103.349122,20.668716
shape_506-1-1,stop shape_506-1-1,-103.349125,20.668754
shape_507-1-0,stop shape_507-1-0,-103.349122,20.668716
shape_507-1-1,stop shape_507-1-1,-103.349125,20.668754
shape_509-1-0,stop shape_509-1-0,-103.405120,20.675334
shape_509-1-1,stop shape_509-1-1,-103.405120,20.675344
shape_511-1-0,stop shape_511-1-0,-103.341942,20.681035
shape_511-1-1,stop shape_511-1-1,-103.341892,20.681075
shape_512-1-0,stop shape_512-1-0,-103.353093,20.729182
shape_512-1-1,stop shape_512-1-1,-103.353117,20.729179
shape_513-1-0,stop shape_513-1-0,-103.282323,20.609557
shape_513-1-1,stop shape_513-1-1,-103.282326,20.609604
shape_514-1-0,stop shape_514-1-0,-103.282303,20.609537
shape_514-1-1,stop shape_514-1-1,-103.282292,20.609545
shape_516-1-0,stop shape_516-1-0,-103.212778,20.664093
shape_516-1-1,stop shape_516-1-1,-103.212812,20.664161
shape_517-1-0,stop shape_517-1-0,-103.257539,20.684585
shape_517-1-1,stop shape_517-1-1,-103.257586,20.684634
shape_518-1-0,stop shape_518-1-0,-103.294151,20.715726
shape_518-1-1,stop shape_518-1-1,-103.294148,20.715730
shape_519-1-0,stop shape_519-1-0,-103.525994,20.766847
shape_520-1-0,stop shape_520-1-0,-103.398282,20.722894
shape_520-1-1,stop shape_520-1-1,-103.398281,20.722904
shape_521-1-0,stop shape_521-1-0,-103.395609,20.722456
shape_521-1-1,stop shape_521-1-1,-103.395608,20.722446
shape_522-1-0,stop shape_522-1-0,-103.425957,20.857765
shape_522-1-1,stop shape_522-1-1,-103.425982,20.857797
shape_523-1-0,stop shape_523-1-0,-103.349047,20.695787
shape_523-1-1,stop shape_523-1-1,-103.349042,20.695768
shape_524-1-0,stop shape_524-1-0,-103.568806,20.716126
shape_525-1-0,stop shape_525-1-0,-103.398139,20.722906
shape_525-1-1,stop shape_525-1-1,-103.398129,20.722896
shape_526-1-0,stop shape_526-1-0,-103.352536,20.672132
shape_526-1-1,stop shape_526-1-1,-103.352536,20.672122
shape_527-1-0,stop shape_527-1-0,-103.451988,20.555524
shape_528-1-0,stop shape_528-1-0,-103.445465,20.547716
shape_528-1-1,stop shape_528-1-1,-103.445473,20.547720
shape_529-1-0,stop shape_529-1-0,-103.400667,20.605663
shape_530-1-0,stop shape_530-1-0,-103.346012,20.667002
shape_530-1-1,stop shape_530-1-1,-103.346056,20.666965
shape_531-1-0,stop shape_531-1-0,-103.354259,20.490666
shape_531-1-1,stop shape_531-1-1,-103.354288,20.490706
shape_532-1-0,stop shape_532-1-0,-103.392639,20.510304
