route_id,trip_id,direction_id,shape_id,service_id
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-0,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-1,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-2,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-3,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-4,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-5,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-6,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-7,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-8,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-9,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-10,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-11,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-12,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-13,1,shape_573-1,srv1111111
rPuerto Vallarta_2_Puerto Vallarta,t-rPuerto Vallarta_2_Puerto Vallarta-weekday-06:00:00-1-14,1,shape_573-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-0,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-1,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-2,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-3,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-4,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-5,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-6,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-7,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-8,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-9,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-10,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-11,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-12,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-13,1,shape_624-1,srv1111111
rPuerto Vallarta_11_Puerto Vallarta,t-rPuerto Vallarta_11_Puerto Vallarta-weekday-06:00:00-1-14,1,shape_624-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-0,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-1,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-2,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-3,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-4,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-5,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-6,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-7,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-8,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-9,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-10,1,shape_512-1,srv1111111
rRuta Modelo_13_Ruta Modelo,t-rRuta Modelo_13_Ruta Modelo-weekday-06:00:00-1-11,1,shape_512-1,srv1111111
