shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_74-1,0,-97.844810,22.209130
shape_74-1,1,-97.845250,22.209780
shape_74-1,2,-97.844780,22.209930
shape_74-1,3,-97.843810,22.210630
shape_74-1,4,-97.841960,22.211800
shape_74-1,5,-97.842020,22.211850
shape_74-1,6,-97.844850,22.210010
shape_74-1,7,-97.845290,22.209840
shape_74-1,8,-97.846230,22.211140
shape_74-1,9,-97.847850,22.211850
shape_74-1,10,-97.854580,22.214830
shape_74-1,11,-97.855790,22.212510
shape_74-1,12,-97.856670,22.212870
shape_74-1,13,-97.856940,22.212400
shape_74-1,14,-97.856020,22.212010
shape_74-1,15,-97.853490,22.211100
shape_74-1,16,-97.851730,22.210430
shape_74-1,17,-97.850820,22.210040
shape_74-1,18,-97.849880,22.209890
shape_74-1,19,-97.849010,22.209980
shape_74-1,20,-97.848400,22.210570
shape_74-1,21,-97.848260,22.210960
shape_74-1,22,-97.847630,22.210820
shape_74-1,23,-97.846640,22.211310
shape_74-1,24,-97.846230,22.211140
shape_74-1,25,-97.845290,22.209840
shape_74-1,26,-97.845200,22.209720
shape_74-1,27,-97.844790,22.209180
shape_76-1,0,-97.871530,22.226840
shape_76-1,1,-97.871290,22.226800
shape_76-1,2,-97.871180,22.226650
shape_76-1,3,-97.870600,22.226150
shape_76-1,4,-97.868990,22.221300
shape_76-1,5,-97.868740,22.220530
shape_76-1,6,-97.868500,22.220040
shape_76-1,7,-97.868390,22.220080
shape_76-1,8,-97.858390,22.215610
shape_76-1,9,-97.859230,22.214020
shape_76-1,10,-97.857520,22.213220
shape_76-1,11,-97.857190,22.212990
shape_76-1,12,-97.857260,22.212830
shape_76-1,13,-97.857530,22.212870
shape_76-1,14,-97.857530,22.212870
shape_76-1,15,-97.857260,22.212830
shape_76-1,16,-97.857950,22.213040
shape_76-1,17,-97.858710,22.213290
shape_76-1,18,-97.859750,22.213930
shape_76-1,19,-97.860250,22.214480
shape_76-1,20,-97.860480,22.215040
shape_76-1,21,-97.864130,22.216590
shape_76-1,22,-97.863440,22.217890
shape_76-1,23,-97.868390,22.220080
shape_76-1,24,-97.868500,22.220040
shape_76-1,25,-97.868740,22.220530
shape_76-1,26,-97.868990,22.221300
shape_76-1,27,-97.870050,22.224540
shape_76-1,28,-97.870630,22.224360
shape_76-1,29,-97.871670,22.226230
shape_76-1,30,-97.871570,22.226860
shape_76-1,31,-97.871290,22.226800
shape_81-1,0,-97.839410,22.226380
shape_81-1,1,-97.840480,22.226790
shape_81-1,2,-97.840300,22.226050
shape_81-1,3,-97.841490,22.223870
shape_81-1,4,-97.840610,22.223500
shape_81-1,5,-97.841040,22.222720
shape_81-1,6,-97.840170,22.222350
shape_81-1,7,-97.844280,22.214500
shape_81-1,8,-97.845540,22.214020
shape_81-1,9,-97.845720,22.213810
shape_81-1,10,-97.847360,22.214570
shape_81-1,11,-97.849450,22.210550
shape_81-1,12,-97.852870,22.212110
shape_81-1,13,-97.853040,22.211840
shape_81-1,14,-97.854840,22.212270
shape_81-1,15,-97.855800,22.212450
shape_81-1,16,-97.857530,22.213200
shape_81-1,17,-97.857530,22.213200
shape_81-1,18,-97.856300,22.215610
shape_81-1,19,-97.853700,22.214440
shape_81-1,20,-97.852050,22.213710
shape_81-1,21,-97.850580,22.213060
shape_81-1,22,-97.848660,22.212180
shape_81-1,23,-97.847360,22.214570
shape_81-1,24,-97.845720,22.213810
shape_81-1,25,-97.845540,22.214020
shape_81-1,26,-97.844280,22.214500
shape_81-1,27,-97.840170,22.222350
shape_81-1,28,-97.841040,22.222720
shape_81-1,29,-97.840610,22.223500
shape_81-1,30,-97.841490,22.223870
shape_81-1,31,-97.840300,22.226050
shape_81-1,32,-97.840450,22.226730
shape_81-1,33,-97.839380,22.226370
shape_89A-1,0,-97.921280,22.412130
shape_89A-1,1,-97.922280,22.412250
shape_89A-1,2,-97.922680,22.409370
shape_89A-1,3,-97.921710,22.409250
shape_89A-1,4,-97.922920,22.400310
shape_89A-1,5,-97.923180,22.399470
shape_89A-1,6,-97.929040,22.397460
shape_89A-1,7,-97.929620,22.397130
shape_89A-1,8,-97.931850,22.394640
shape_89A-1,9,-97.932470,22.394490
shape_89A-1,10,-97.933370,22.395300
shape_89A-1,11,-97.934190,22.395580
shape_89A-1,12,-97.935300,22.395740
shape_89A-1,13,-97.934930,22.397450
shape_89A-1,14,-97.935780,22.397620
shape_89A-1,15,-97.935990,22.396700
shape_89A-1,16,-97.936920,22.396910
shape_89A-1,17,-97.936920,22.396910
shape_89A-1,18,-97.936000,22.396760
shape_89A-1,19,-97.934620,22.396520
shape_89A-1,20,-97.933160,22.396200
shape_89A-1,21,-97.933380,22.395330
shape_89A-1,22,-97.933000,22.395050
shape_89A-1,23,-97.932680,22.394810
shape_89A-1,24,-97.932510,22.394570
shape_89A-1,25,-97.932470,22.394490
shape_89A-1,26,-97.931850,22.394640
shape_89A-1,27,-97.929620,22.397130
shape_89A-1,28,-97.928380,22.397480
shape_89A-1,29,-97.927490,22.397650
shape_89A-1,30,-97.925250,22.397330
shape_89A-1,31,-97.924000,22.397640
shape_89A-1,32,-97.922780,22.398390
shape_89A-1,33,-97.921750,22.399370
shape_89A-1,34,-97.921970,22.399620
shape_89A-1,35,-97.922340,22.399760
shape_89A-1,36,-97.923220,22.399530
shape_89A-1,37,-97.922920,22.400310
shape_89A-1,38,-97.921710,22.409250
shape_89A-1,39,-97.922680,22.409370
shape_89A-1,40,-97.922280,22.412250
shape_67-1,0,-97.858040,22.250450
shape_67-1,1,-97.857520,22.246520
shape_67-1,2,-97.855200,22.245330
shape_67-1,3,-97.855100,22.247080
