route_id,trip_id,direction_id,shape_id,service_id
r74,t-r74-weekday-06:00:00-1-0,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-1,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-2,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-3,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-4,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-5,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-6,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-7,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-8,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-9,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-10,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-11,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-12,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-13,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-14,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-15,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-16,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-17,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-18,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-19,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-20,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-21,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-22,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-23,1,shape_74-1,srv1111111
r74,t-r74-weekday-06:00:00-1-24,1,shape_74-1,srv1111111
r76,t-r76-weekday-06:00:00-1-0,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-1,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-2,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-3,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-4,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-5,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-6,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-7,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-8,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-9,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-10,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-11,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-12,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-13,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-14,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-15,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-16,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-17,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-18,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-19,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-20,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-21,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-22,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-23,1,shape_76-1,srv1111111
r76,t-r76-weekday-06:00:00-1-24,1,shape_76-1,srv1111111
r81,t-r81-weekday-06:00:00-1-0,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-1,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-2,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-3,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-4,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-5,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-6,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-7,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-8,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-9,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-10,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-11,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-12,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-13,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-14,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-15,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-16,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-17,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-18,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-19,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-20,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-21,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-22,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-23,1,shape_81-1,srv1111111
r81,t-r81-weekday-06:00:00-1-24,1,shape_81-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-0,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-1,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-2,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-3,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-4,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-5,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-6,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-7,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-8,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-9,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-10,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-11,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-12,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-13,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-14,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-15,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-16,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-17,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-18,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-19,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-20,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-21,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-22,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-23,1,shape_89A-1,srv1111111
r89A,t-r89A-weekday-06:00:00-1-24,1,shape_89A-1,srv1111111
r67,t-r67-weekday-06:00:00-1-0,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-1,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-2,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-3,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-4,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-5,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-6,1,shape_67-1,srv1111111
r67,t-r67-weekday-06:00:00-1-7,1,shape_67-1,srv1111111
