stop_id,stop_name,stop_lon,stop_lat
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0000,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0000,-105.20777,20.62939
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0001,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0001,-105.2096853908484,20.62926921128915
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0002,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0002,-105.21050998136919,20.630634486972372
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0003,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0003,-105.21224633310375,20.630249597004532
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0004,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0004,-105.21415932245665,20.630101722599967
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0005,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0005,-105.21599788894012,20.63034990488777
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0006,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0006,-105.21769577804845,20.631192893522684
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0007,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0007,-105.2189919223787,20.630717692113823
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0008,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0008,-105.22072321969503,20.63117930262979
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0009,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0009,-105.22249300575552,20.630559073726346
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0010,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0010,-105.22404416747244,20.63151901212883
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0011,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0011,-105.22557286302374,20.631453966542946
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0012,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0012,-105.22686688421867,20.630943839380365
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0013,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0013,-105.22871692948176,20.63139281401841
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0014,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0014,-105.22940473529455,20.63002580057127
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0015,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0015,-105.22972154127284,20.628243453771443
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0016,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0016,-105.23002794120545,20.626459426907275
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0017,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0017,-105.23034151177141,20.62467655444044
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0018,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0018,-105.23068208034692,20.62289802762735
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0019,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0019,-105.23087349658407,20.621120186907163
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0020,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0020,-105.2311698507282,20.619334659932083
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0021,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0021,-105.23146827438623,20.617549436081475
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0022,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0022,-105.23183026064504,20.615774882538858
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0023,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0023,-105.2317933972943,20.61435941799207
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0024,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0024,-105.23289710456574,20.612880974660936
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0025,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0025,-105.23394907193286,20.61137079879143
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0026,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0026,-105.2349898472276,20.60985687083836
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0027,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0027,-105.23604271129508,20.608346736171715
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0028,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0028,-105.23695092099705,20.606797302584745
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0029,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0029,-105.2363901421963,20.605102446988944
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0030,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0030,-105.23602485501617,20.60332837702657
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0031,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0031,-105.2370645149244,20.603177522776967
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0032,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0032,-105.23535875956904,20.60363075567561
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0033,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0033,-105.2340630284478,20.604387392142787
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0034,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0034,-105.23458316314193,20.606119840904615
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0035,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0035,-105.23590181227428,20.607333054153507
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0036,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0036,-105.23498514791102,20.608797649110784
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0037,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0037,-105.23394562178919,20.61031676444855
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0038,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0038,-105.2329337238304,20.611852327003383
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0039,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0039,-105.23191937787257,20.613386482221653
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0040,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0040,-105.23069066836672,20.614708502754034
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0041,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0041,-105.2303973873989,20.61649435631631
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0042,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0042,-105.23005564398355,20.618272536898683
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0043,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0043,-105.22976367516738,20.620058706768216
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0044,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0044,-105.22947381121573,20.621845179183005
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0045,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0045,-105.2302595216423,20.622909521672664
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0046,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0046,-105.23009987294165,20.62464438014995
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0047,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0047,-105.22977541626824,20.626425575063106
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0048,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0048,-105.22943495402771,20.628204112572128
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0049,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0049,-105.22907808747865,20.629979621238018
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0050,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0050,-105.22778402313338,20.630442902505695
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0051,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0051,-105.22678056903116,20.630848104570333
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0052,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0052,-105.22583916574237,20.632167978576096
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0053,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0053,-105.22417440613812,20.631598589415624
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0054,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0054,-105.22265459232266,20.63061924382207
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0055,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0055,-105.22090977290388,20.63106742850503
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0056,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0056,-105.21917276664541,20.630747038689048
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0057,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0057,-105.21790153080329,20.631257391990495
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0058,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0058,-105.21619895721136,20.630423143625116
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0059,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0059,-105.21439561657853,20.630006302110345
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0060,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0060,-105.21248258924862,20.630156765428968
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0061,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0061,-105.21067967442188,20.630655760743185
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0062,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0062,-105.20994109122077,20.6291950807507
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0063,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0063,-105.2080259638659,20.629318691428008
st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0064,st_rPuerto Vallarta_2_Puerto Vallarta_shape_573_0064,-105.20777,20.62939
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0000,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0000,-105.23674,20.606499999999997
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0001,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0001,-105.2363268973991,20.60474917908184
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0002,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0002,-105.235532221301,20.603596949936207
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0003,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0003,-105.23404031190829,20.60420942816509
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0004,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0004,-105.23451054597275,20.605954423435232
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0005,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0005,-105.23575174052861,20.607217806814482
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0006,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0006,-105.23509458734384,20.608666005221195
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0007,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0007,-105.23403556075623,20.61017320271837
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0008,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0008,-105.23300625352607,20.61169855194046
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0009,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0009,-105.23201629005679,20.613246839612184
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0010,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0010,-105.23079606364507,20.61459929096225
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0011,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0011,-105.23112817954046,20.615873045478235
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0012,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0012,-105.23078768859077,20.617651558468523
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0013,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0013,-105.23048150646105,20.619435445513563
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0014,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0014,-105.23016052293372,20.62121715294354
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0015,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0015,-105.22939400444189,20.622328155326713
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0016,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0016,-105.23039999999973,20.623358968775605
st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0017,st_rPuerto Vallarta_11_Puerto Vallarta_shape_624_0017,-105.23007276460376,20.625137925022234
