route_id,service_id,trip_id,direction_id,shape_id
rA CAL,,rA CAL_186_A CAL_trip_00,,
rA Circunvalación Atemajac,,rA Circunvalación Atemajac_641_A Circunvalación Atemajac_trip_00,,
rA Floresta – Guadalupe,,rA Floresta – Guadalupe_51_A Floresta – Guadalupe_trip_00,,
rA Gavilanes,,rA Gavilanes_175_A Gavilanes_trip_00,,
rA Km 13,,rA Km 13_644_A Km 13_trip_00,,
rA Miramar – Guadalupe,,rA Miramar – Guadalupe_51_A Miramar – Guadalupe_trip_00,,
rA Palmiras,,rA Palmiras_623_A Palmiras_trip_00,,
rA Vía 1,,rA Vía 1_178_A Vía 1_trip_00,,
rA Vía 1,,rA Vía 1_182_A Vía 1_trip_00,,
rA Vía 2,,rA Vía 2_178_A Vía 2_trip_00,,
rA Vía 2,,rA Vía 2_182_A Vía 2_trip_00,,
rA Vía 2,,rA Vía 2_24_A Vía 2_trip_00,,
rA Vía 2,,rA Vía 2_360_A Vía 2_trip_00,,
rA Vía 2,,rA Vía 2_636_A Vía 2_trip_00,,
rA Vía Alamo,,rA Vía Alamo_644_A Vía Alamo_trip_00,,
rA Vía Base Aérea,,rA Vía Base Aérea_39_A Vía Base Aérea_trip_00,,
rA Vía Belenes,,rA Vía Belenes_641_A Vía Belenes_trip_00,,
rA Vía Chula Vista,,rA Vía Chula Vista_176_A Vía Chula Vista_trip_00,,
rA Vía Coronilla Sor Juana Inés,,rA Vía Coronilla Sor Juana Inés_636_A Vía Coronilla Sor Juana Inés_trip_00,,
rA Vía Curva,,rA Vía Curva_644_A Vía Curva_trip_00,,
rA Vía Directa Antonio Caso,,rA Vía Directa Antonio Caso_45_A Vía Directa Antonio Caso_trip_00,,
rA Vía El Tapatío,,rA Vía El Tapatío_644_A Vía El Tapatío_trip_00,,
rA Vía Guadalupe Gallo,,rA Vía Guadalupe Gallo_619_A Vía Guadalupe Gallo_trip_00,,
rA Vía Huentitán el Alto,,rA Vía Huentitán el Alto_603_A Vía Huentitán el Alto_trip_00,,
