route_id,direction_id,shape_id,service_id,trip_id
r100A,1,shape_100A-1,srv1111111,r100A_trip_00
r100,1,shape_100-1,srv1111111,r100_trip_00
r101A,1,shape_101A-1,srv1111111,r101A_trip_00
r101,1,shape_101-1,srv1111111,r101_trip_00
r103A,1,shape_103A-1,srv1111111,r103A_trip_00
r103B,1,shape_103B-1,srv1111111,r103B_trip_00
r103,1,shape_103-1,srv1111111,r103_trip_00
r104,1,shape_104-1,srv1111111,r104_trip_00
r105A,1,shape_105A-1,srv1111111,r105A_trip_00
r105,1,shape_105-1,srv1111111,r105_trip_00
r106A,1,shape_106A-1,srv1111111,r106A_trip_00
r106,1,shape_106-1,srv1111111,r106_trip_00
r107A,1,shape_107A-1,srv1111111,r107A_trip_00
r107,1,shape_107-1,srv1111111,r107_trip_00
r108A,1,shape_108A-1,srv1111111,r108A_trip_00
r108,1,shape_108-1,srv1111111,r108_trip_00
r109A,1,shape_109A-1,srv1111111,r109A_trip_00
r109,1,shape_109-1,srv1111111,r109_trip_00
r10,1,shape_10-1,srv1111111,r10_trip_00
r110,1,shape_110-1,srv1111111,r110_trip_00
r111A,1,shape_111A-1,srv1111111,r111A_trip_00
r112,1,shape_112-1,srv1111111,r112_trip_00
r113,1,shape_113-1,srv1111111,r113_trip_00
r114A,1,shape_114A-1,srv1111111,r114A_trip_00
r114,1,shape_114-1,srv1111111,r114_trip_00
r115,1,shape_115-1,srv1111111,r115_trip_00
r116,1,shape_116-1,srv1111111,r116_trip_00
r117,1,shape_117-1,srv1111111,r117_trip_00
r118,1,shape_118-1,srv1111111,r118_trip_00
r119,1,shape_119-1,srv1111111,r119_trip_00
r11,1,shape_11-1,srv1111111,r11_trip_00
r120,1,shape_120-1,srv1111111,r120_trip_00
r12,1,shape_12-1,srv1111111,r12_trip_00
r14,1,shape_14-1,srv1111111,r14_trip_00
r15,1,shape_15-1,srv1111111,r15_trip_00
r16,1,shape_16-1,srv1111111,r16_trip_00
r17,1,shape_17-1,srv1111111,r17_trip_00
r18,1,shape_18-1,srv1111111,r18_trip_00
r19,1,shape_19-1,srv1111111,r19_trip_00
r1,1,shape_1-1,srv1111111,r1_trip_00
r20,1,shape_20-1,srv1111111,r20_trip_00
r21,1,shape_21-1,srv1111111,r21_trip_00
r22,1,shape_22-1,srv1111111,r22_trip_00
r23,1,shape_23-1,srv1111111,r23_trip_00
r24,1,shape_24-1,srv1111111,r24_trip_00
r25,1,shape_25-1,srv1111111,r25_trip_00
r26,1,shape_26-1,srv1111111,r26_trip_00
r27,1,shape_27-1,srv1111111,r27_trip_00
r28,1,shape_28-1,srv1111111,r28_trip_00
r29,1,shape_29-1,srv1111111,r29_trip_00
r2,1,shape_2-1,srv1111111,r2_trip_00
r30,1,shape_30-1,srv1111111,r30_trip_00
r31,1,shape_31-1,srv1111111,r31_trip_00
r32,1,shape_32-1,srv1111111,r32_trip_00
r33,1,shape_33-1,srv1111111,r33_trip_00
r34,1,shape_34-1,srv1111111,r34_trip_00
r36,1,shape_36-1,srv1111111,r36_trip_00
r37,1,shape_37-1,srv1111111,r37_trip_00
r38,1,shape_38-1,srv1111111,r38_trip_00
r39,1,shape_39-1,srv1111111,r39_trip_00
r3,1,shape_3-1,srv1111111,r3_trip_00
r40,1,shape_40-1,srv1111111,r40_trip_00
r41,1,shape_41-1,srv1111111,r41_trip_00
r42,1,shape_42-1,srv1111111,r42_trip_00
r43,1,shape_43-1,srv1111111,r43_trip_00
r44,1,shape_44-1,srv1111111,r44_trip_00
r45,1,shape_45-1,srv1111111,r45_trip_00
r46,1,shape_46-1,srv1111111,r46_trip_00
r47,1,shape_47-1,srv1111111,r47_trip_00
r48,1,shape_48-1,srv1111111,r48_trip_00
r49,1,shape_49-1,srv1111111,r49_trip_00
r4,1,shape_4-1,srv1111111,r4_trip_00
r50,1,shape_50-1,srv1111111,r50_trip_00
r51,1,shape_51-1,srv1111111,r51_trip_00
r52,1,shape_52-1,srv1111111,r52_trip_00
r53,1,shape_53-1,srv1111111,r53_trip_00
r54,1,shape_54-1,srv1111111,r54_trip_00
r55,1,shape_55-1,srv1111111,r55_trip_00
r56,1,shape_56-1,srv1111111,r56_trip_00
r57,1,shape_57-1,srv1111111,r57_trip_00
r58,1,shape_58-1,srv1111111,r58_trip_00
r59,1,shape_59-1,srv1111111,r59_trip_00
r5,1,shape_5-1,srv1111111,r5_trip_00
r60,1,shape_60-1,srv1111111,r60_trip_00
r61,1,shape_61-1,srv1111111,r61_trip_00
r62,1,shape_62-1,srv1111111,r62_trip_00
r63,1,shape_63-1,srv1111111,r63_trip_00
r64,1,shape_64-1,srv1111111,r64_trip_00
r65,1,shape_65-1,srv1111111,r65_trip_00
r66,1,shape_66-1,srv1111111,r66_trip_00
r67,1,shape_67-1,srv1111111,r67_trip_00
r68,1,shape_68-1,srv1111111,r68_trip_00
