route_id,agency_id,route_short_name,route_long_name,route_type
2_42 Caseta,Red_de_Transporte_Merida,42 Caseta,2_42 Caseta,3
6_42 Sur IMSS,Red_de_Transporte_Merida,42 Sur IMSS,6_42 Sur IMSS,3
11_50 Penal Paso Texas,Red_de_Transporte_Merida,50 Penal Paso Texas,11_50 Penal Paso Texas,3
13_50 Sur Villa Magna,Red_de_Transporte_Merida,50 Sur Villa Magna,13_50 Sur Villa Magna,3
16_Zazil-Ha,Red_de_Transporte_Merida,Zazil-Ha,16_Zazil-Ha,3
17_58 Emiliano Zapata Azul y Rojo,Red_de_Transporte_Merida,58 Emiliano Zapata Azul y Rojo,17_58 Emiliano Zapata Azul y Rojo,3
19_5A Avenida,Red_de_Transporte_Merida,5A Avenida,19_5A Avenida,3
26_65 Periferico-Kanasín,Red_de_Transporte_Merida,65 Periferico-Kanasín,26_65 Periferico-Kanasín,3
20_60 Penal Directo,Red_de_Transporte_Merida,60 Penal Directo,20_60 Penal Directo,3
21_60 Penal Periférico,Red_de_Transporte_Merida,60 Penal Periférico,21_60 Penal Periférico,3
65_82 García Gineres Tanlum,Red_de_Transporte_Merida,82 García Gineres Tanlum,65_82 García Gineres Tanlum,3
62_50 Xmatkuil,Red_de_Transporte_Merida,50 Xmatkuil,62_50 Xmatkuil,3
40_60 Emiliano Zapata Azul y Rojo,Red_de_Transporte_Merida,60 Emiliano Zapata Azul y Rojo,40_60 Emiliano Zapata Azul y Rojo,3
70_66 Ibrica,Red_de_Transporte_Merida,66 Ibrica,70_66 Ibrica,3
67_Polígono 108-López Mateos,Red_de_Transporte_Merida,Polígono 108-López Mateos,67_Polígono 108-López Mateos,3
71_Itzimná Díaz Ordaz,Red_de_Transporte_Merida,Itzimná Díaz Ordaz,71_Itzimná Díaz Ordaz,3
"73_Caucel R1, R2, R3 Y R5",Red_de_Transporte_Merida,"Caucel R1, R2, R3 Y R5","73_Caucel R1, R2, R3 Y R5",3
74_66 Amapola,Red_de_Transporte_Merida,66 Amapola,74_66 Amapola,3
"82_Brisas, Brisas Normal, Conalep y SCT",Red_de_Transporte_Merida,"Brisas, Brisas Normal, Conalep y SCT","82_Brisas, Brisas Normal, Conalep y SCT",3
85_Ibérica (F.U.T.V.),Red_de_Transporte_Merida,Ibérica (F.U.T.V.),85_Ibérica (F.U.T.V.),3
86_Itzimná Aguilas (F.U.T.V.),Red_de_Transporte_Merida,Itzimná Aguilas (F.U.T.V.),86_Itzimná Aguilas (F.U.T.V.),3
87_Lindavista R-1,Red_de_Transporte_Merida,Lindavista R-1,87_Lindavista R-1,3
87_Lindavista R-2,Red_de_Transporte_Merida,Lindavista R-2,87_Lindavista R-2,3
90_Pensiones Chenku (FUTV),Red_de_Transporte_Merida,Pensiones Chenku (FUTV),90_Pensiones Chenku (FUTV),3
91_49 Petronila,Red_de_Transporte_Merida,49 Petronila,91_49 Petronila,3
92_Serapio Rendón R-1,Red_de_Transporte_Merida,Serapio Rendón R-1,92_Serapio Rendón R-1,3
94_Mulsay,Red_de_Transporte_Merida,Mulsay,94_Mulsay,3
92_Serapio Rendón R2 F.U.T.V,Red_de_Transporte_Merida,Serapio Rendón R2 F.U.T.V,92_Serapio Rendón R2 F.U.T.V,3
99_Santa Gertrudis COPO R-3,Red_de_Transporte_Merida,Santa Gertrudis COPO R-3,99_Santa Gertrudis COPO R-3,3
121_Pensiones,Red_de_Transporte_Merida,Pensiones,121_Pensiones,3
112_Mulsay Juan Pablo II,Red_de_Transporte_Merida,Mulsay Juan Pablo II,112_Mulsay Juan Pablo II,3
115_San Lucas,Red_de_Transporte_Merida,San Lucas,115_San Lucas,3
114_Carranza,Red_de_Transporte_Merida,Carranza,114_Carranza,3
100_52 Norte Villas la Hacienda R-1,Red_de_Transporte_Merida,52 Norte Villas la Hacienda R-1,100_52 Norte Villas la Hacienda R-1,3
128_67 Mulsay R-1,Red_de_Transporte_Merida,67 Mulsay R-1,128_67 Mulsay R-1,3
"124_Chichí Suárez, Sitpach",Red_de_Transporte_Merida,"Chichí Suárez, Sitpach","124_Chichí Suárez, Sitpach",3
126_63 Periferico-San Camilo,Red_de_Transporte_Merida,63 Periferico-San Camilo,126_63 Periferico-San Camilo,3
141_Chuburná Inn,Red_de_Transporte_Merida,Chuburná Inn,141_Chuburná Inn,3
140_Francisco de Montejo R-1,Red_de_Transporte_Merida,Francisco de Montejo R-1,140_Francisco de Montejo R-1,3
133_49 Petrolina R1,Red_de_Transporte_Merida,49 Petrolina R1,133_49 Petrolina R1,3
132_79 Aviación,Red_de_Transporte_Merida,79 Aviación,132_79 Aviación,3
142_Chuburna 21,Red_de_Transporte_Merida,Chuburna 21,142_Chuburna 21,3
169_77 SAMBULÁ,Red_de_Transporte_Merida,77 SAMBULÁ,169_77 SAMBULÁ,3
145_Tapetes,Red_de_Transporte_Merida,Tapetes,145_Tapetes,3
148_Francisco de Montejo R-2 Dzityá,Red_de_Transporte_Merida,Francisco de Montejo R-2 Dzityá,148_Francisco de Montejo R-2 Dzityá,3
"190_Dzityá, Xcanatún, Las Américas",Red_de_Transporte_Merida,"Dzityá, Xcanatún, Las Américas","190_Dzityá, Xcanatún, Las Américas",3
Caucel R2_Caucel R2 (Herradura),Red_de_Transporte_Merida,Caucel R2 (Herradura),Caucel R2_Caucel R2 (Herradura),3
"182_Alemán, Pinoa, Tulias R1",Red_de_Transporte_Merida,"Alemán, Pinoa, Tulias R1","182_Alemán, Pinoa, Tulias R1",3
"Circuito Aviación,_Circuito Aviación, Pacaptún (azul y rojo)",Red_de_Transporte_Merida,"Circuito Aviación, Pacaptún (azul y rojo)","Circuito Aviación,_Circuito Aviación, Pacaptún (azul y rojo)",3
Caucel R3_Caucel R3 (Arboledas),Red_de_Transporte_Merida,Caucel R3 (Arboledas),Caucel R3_Caucel R3 (Arboledas),3
Circuito Poniente_Circuito Poniente Plazas,Red_de_Transporte_Merida,Circuito Poniente Plazas,Circuito Poniente_Circuito Poniente Plazas,3
Circuito Colonias_Circuito Colonias y Hospitales,Red_de_Transporte_Merida,Circuito Colonias y Hospitales,Circuito Colonias_Circuito Colonias y Hospitales,3
Circuito Metropolitano_Circuito Metropolitano Ruta 1,Red_de_Transporte_Merida,Circuito Metropolitano Ruta 1,Circuito Metropolitano_Circuito Metropolitano Ruta 1,3
F3_Acim (F.U.T.V.),Red_de_Transporte_Merida,Acim (F.U.T.V.),F3_Acim (F.U.T.V.),3
F1_Caucel (F.U.T.V.),Red_de_Transporte_Merida,Caucel (F.U.T.V.),F1_Caucel (F.U.T.V.),3
F15_San Pedro Noh-Pat R2,Red_de_Transporte_Merida,San Pedro Noh-Pat R2,F15_San Pedro Noh-Pat R2,3
