route_id,agency_id,route_short_name,route_long_name,route_type
Route_1,IMEPLAN_Tampico,Route_1,Mirador - Aviación por Boulevard,3
Route_2,IMEPLAN_Tampico,Route_2,Tampico - Bosque Central de Abastos - Casa Blanca,3
Route_3,IMEPLAN_Tampico,Route_3,Madero - Revolución Verde - Central de Abastos,3
Route_9,IMEPLAN_Tampico,Route_9,Santa Elena - Colonias - Tampico,3
Route_4,IMEPLAN_Tampico,Route_4,Colosio - Águila Madero - Golfo,3
Route_6,IMEPLAN_Tampico,Route_6,Madero - Revolución Verde - Las Torres,3
Route_8,IMEPLAN_Tampico,Route_8,Seguro Social - Lomas de Infonavit,3
Route_5,IMEPLAN_Tampico,Route_5,Madero - Blanco Palmas - Albañiles,3
Route_7,IMEPLAN_Tampico,Route_7,Tampico - Playa por Boulevard,3
Route_10,IMEPLAN_Tampico,Route_10,Enrique Cárdenas - Central Camionera - Tampico,3
Route_11_A,IMEPLAN_Tampico,Route_11_A,Puerto Alegre - Candelario Garza Tampico,3
Route_12,IMEPLAN_Tampico,Route_12,Morelos - Moralillo,3
Route_11_B,IMEPLAN_Tampico,Route_11_B,Tampico - Colonias - El Fuerte - Penal por Av. Hidalgo y Ayuntamiento,3
Route_13,IMEPLAN_Tampico,Route_13,Col - Primavera - Natividad Garza Leal,3
Route_14,IMEPLAN_Tampico,Route_14,Tampico Cañada,3
Route_15,IMEPLAN_Tampico,Route_15,Madero - UAT - Niños Héroes,3
Route_16,IMEPLAN_Tampico,Route_16,Ejido Contadero - Germinal - Águila,3
Route_17,IMEPLAN_Tampico,Route_17,Maun - Revolución Verde - Madero,3
Route_18,IMEPLAN_Tampico,Route_18,Tampico - Universidad - Echeverría,3
Route_21,IMEPLAN_Tampico,Route_21,FOVISSTE - Lucio Blanco,3
Route_23,IMEPLAN_Tampico,Route_23,E. Cárdenas González - Universidad,3
Route_20,IMEPLAN_Tampico,Route_20,Miramar - Borreguera - Madero,3
Route_19,IMEPLAN_Tampico,Route_19,Nuevo Madero - Serapio Venegas,3
Route_24,IMEPLAN_Tampico,Route_24,Tampico - Tancol - Col del Bosque,3
Route_22,IMEPLAN_Tampico,Route_22,Tampico - Borreguera por boulevard Zona Conurbada Tampico - Madero - Altamira,3
Route_25,IMEPLAN_Tampico,Route_25,Madero - Col Echeverría,3
Route_26,IMEPLAN_Tampico,Route_26,Tampico - Puertas Coloradas - Divisoria,3
Route_27,IMEPLAN_Tampico,Route_27,Tampico - Santa Elena,3
Route_28,IMEPLAN_Tampico,Route_28,Unidad Morelos,3
