shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Shape_Route_1,22.21563,-97.85418,1,0.0
Shape_Route_1,22.21246,-97.85586,2,0.391348
Shape_Route_1,22.21226,-97.85486,3,0.496783
Shape_Route_1,22.21522,-97.85327,4,0.863182
Shape_Route_1,22.21683,-97.85238,5,1.063647
Shape_Route_1,22.21716,-97.8533,6,1.165275
Shape_Route_1,22.2179,-97.85285,7,1.25942
Shape_Route_1,22.22096,-97.85128,8,1.634857
Shape_Route_1,22.22517,-97.84898,9,2.157769
Shape_Route_1,22.22901,-97.84693,10,2.632506
Shape_Route_1,22.23016,-97.84659,11,2.764556
Shape_Route_1,22.23108,-97.84677,12,2.868084
Shape_Route_1,22.23274,-97.84793,13,3.087329
Shape_Route_1,22.23381,-97.84847,14,3.218211
Shape_Route_1,22.23544,-97.84902,15,3.40736
Shape_Route_1,22.23706,-97.84977,16,3.602657
Shape_Route_1,22.23813,-97.85266,17,3.923208
Shape_Route_1,22.2389,-97.85335,18,4.034222
Shape_Route_1,22.24053,-97.85389,19,4.223064
Shape_Route_1,22.24282,-97.85532,20,4.516312
Shape_Route_1,22.24566,-97.85528,21,4.83075
Shape_Route_1,22.24728,-97.85505,22,5.011658
Shape_Route_1,22.24815,-97.85464,23,5.116835
Shape_Route_1,22.2504,-97.85487,24,5.367054
Shape_Route_1,22.25132,-97.85443,25,5.478543
Shape_Route_1,22.25352,-97.85358,26,5.737375
Shape_Route_1,22.25574,-97.85265,27,6.001174
Shape_Route_1,22.25832,-97.85171,28,6.302781
Shape_Route_1,22.2637,-97.84973,29,6.932373
Shape_Route_1,22.26972,-97.84752,30,7.636673
Shape_Route_1,22.27272,-97.85072,31,8.104681
Shape_Route_1,22.27353,-97.85377,32,8.431496
Shape_Route_1,22.27472,-97.8549,33,8.607317
Shape_Route_1,22.27671,-97.85621,34,8.86569
Shape_Route_1,22.27808,-97.85898,35,9.188898
Shape_Route_1,22.28127,-97.86291,36,9.726195
Shape_Route_1,22.28424,-97.86517,37,10.1291
Shape_Route_1,22.28583,-97.86712,38,10.396215
Shape_Route_1,22.28684,-97.86843,39,10.571484
Shape_Route_1,22.28978,-97.87065,40,10.969294
Shape_Route_1,22.28964,-97.87135,41,11.04306
Shape_Route_1,22.28973,-97.87188,42,11.098566
Shape_Route_1,22.29118,-97.87325,43,11.312321
Shape_Route_1,22.29727,-97.87707,44,12.092991
Shape_Route_1,22.30387,-97.88116,45,12.936448
Shape_Route_1,22.30489,-97.8816,46,13.058128
Shape_Route_1,22.30675,-97.88166,47,13.264138
Shape_Route_1,22.31606,-97.8786,48,14.341956
Shape_Route_1,22.31605,-97.8789,49,14.372878
Shape_Route_1,22.30663,-97.88181,50,15.457978
Shape_Route_1,22.30489,-97.88179,51,15.650622
Shape_Route_1,22.30442,-97.88852,52,16.345867
Shape_Route_1,22.30896,-97.88766,53,16.85623
Shape_Route_1,22.3112,-97.88723,54,17.108141
Shape_Route_1,22.31112,-97.89003,55,17.396707
Shape_Route_1,22.31548,-97.889,56,17.890918
Shape_Route_1,22.31596,-97.88883,57,17.946869
Shape_Route_1,22.31615,-97.8889,58,17.969105
Shape_Route_1,22.3164,-97.88872,59,18.002419
Shape_Route_1,22.31755,-97.88892,60,18.131389
Shape_Route_1,22.3164,-97.88872,61,18.26036
Shape_Route_1,22.31615,-97.8889,62,18.293673
Shape_Route_1,22.31596,-97.88883,63,18.315909
Shape_Route_1,22.31548,-97.889,64,18.37186
Shape_Route_1,22.31112,-97.89003,65,18.866071
