route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Route_1,L_V_VALLE,Route_1_trip_00,,1,Shape_Route_1
Route_10,L_V_VALLE,Route_10_trip_00,,1,Shape_Route_10
Route_100,L_V_VALLE,Route_100_trip_00,,1,Shape_Route_100
Route_100A,L_V_VALLE,Route_100A_trip_00,,1,Shape_Route_100A
Route_101,L_V_VALLE,Route_101_trip_00,,1,Shape_Route_101
Route_101A,L_V_VALLE,Route_101A_trip_00,,1,Shape_Route_101A
Route_102,L_V_VALLE,Route_102_trip_00,,1,Shape_Route_102
Route_103,L_V_VALLE,Route_103_trip_00,,1,Shape_Route_103
Route_103A,L_V_VALLE,Route_103A_trip_00,,1,Shape_Route_103A
Route_103B,L_V_VALLE,Route_103B_trip_00,,1,Shape_Route_103B
Route_104,L_V_VALLE,Route_104_trip_00,,1,Shape_Route_104
Route_104A,L_V_VALLE,Route_104A_trip_00,,1,Shape_Route_104A
Route_105,L_V_VALLE,Route_105_trip_00,,1,Shape_Route_105
Route_105A,L_V_VALLE,Route_105A_trip_00,,1,Shape_Route_105A
Route_106,L_V_VALLE,Route_106_trip_00,,1,Shape_Route_106
Route_106A,L_V_VALLE,Route_106A_trip_00,,1,Shape_Route_106A
Route_107,L_V_VALLE,Route_107_trip_00,,1,Shape_Route_107
Route_107A,L_V_VALLE,Route_107A_trip_00,,1,Shape_Route_107A
Route_108,L_V_VALLE,Route_108_trip_00,,1,Shape_Route_108
Route_108A,L_V_VALLE,Route_108A_trip_00,,1,Shape_Route_108A
Route_109,L_V_VALLE,Route_109_trip_00,,1,Shape_Route_109
Route_109A,L_V_VALLE,Route_109A_trip_00,,1,Shape_Route_109A
Route_110,L_V_VALLE,Route_110_trip_00,,1,Shape_Route_110
Route_111A,L_V_VALLE,Route_111A_trip_00,,1,Shape_Route_111A
Route_112,L_V_VALLE,Route_112_trip_00,,1,Shape_Route_112
Route_113,L_V_VALLE,Route_113_trip_00,,1,Shape_Route_113
Route_114,L_V_VALLE,Route_114_trip_00,,1,Shape_Route_114
Route_114A,L_V_VALLE,Route_114A_trip_00,,1,Shape_Route_114A
Route_115,L_V_VALLE,Route_115_trip_00,,1,Shape_Route_115
Route_116,L_V_VALLE,Route_116_trip_00,,1,Shape_Route_116
Route_117,L_V_VALLE,Route_117_trip_00,,1,Shape_Route_117
Route_118,L_V_VALLE,Route_118_trip_00,,1,Shape_Route_118
