shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
shape_74-1,0,-97.84481,22.20913
shape_74-1,1,-97.84525,22.20978
shape_74-1,2,-97.84478,22.20993
shape_74-1,3,-97.84381,22.21063
shape_74-1,4,-97.84196,22.2118
shape_74-1,5,-97.84202,22.21185
shape_74-1,6,-97.84485,22.21001
shape_74-1,7,-97.84529,22.20984
shape_74-1,8,-97.84623,22.21114
shape_74-1,9,-97.84785,22.21185
shape_74-1,10,-97.85458,22.21483
shape_74-1,11,-97.85579,22.21251
shape_74-1,12,-97.85667,22.21287
shape_74-1,13,-97.85694,22.2124
shape_74-1,14,-97.85602,22.21201
shape_74-1,15,-97.85349,22.2111
shape_74-1,16,-97.85173,22.21043
shape_74-1,17,-97.85082,22.21004
shape_74-1,18,-97.84988,22.20989
shape_74-1,19,-97.84901,22.20998
shape_74-1,20,-97.8484,22.21057
shape_74-1,21,-97.84826,22.21096
shape_74-1,22,-97.84763,22.21082
shape_74-1,23,-97.84664,22.21131
shape_74-1,24,-97.84623,22.21114
shape_74-1,25,-97.84529,22.20984
shape_74-1,26,-97.8452,22.20972
shape_74-1,27,-97.84479,22.20918
shape_76-1,0,-97.87153,22.22684
shape_76-1,1,-97.87129,22.2268
shape_76-1,2,-97.87118,22.22665
shape_76-1,3,-97.8706,22.22615
shape_76-1,4,-97.86899,22.2213
shape_76-1,5,-97.86874,22.22053
shape_76-1,6,-97.8685,22.22004
shape_76-1,7,-97.86839,22.22008
shape_76-1,8,-97.85839,22.21561
shape_76-1,9,-97.85923,22.21402
shape_76-1,10,-97.85752,22.21322
shape_76-1,11,-97.85719,22.21299
shape_76-1,12,-97.85726,22.21283
shape_76-1,13,-97.85753,22.21287
shape_76-1,14,-97.85753,22.21287
shape_76-1,15,-97.85726,22.21283
shape_76-1,16,-97.85795,22.21304
shape_76-1,17,-97.85871,22.21329
shape_76-1,18,-97.85975,22.21393
shape_76-1,19,-97.86025,22.21448
shape_76-1,20,-97.86048,22.21504
shape_76-1,21,-97.86413,22.21659
shape_76-1,22,-97.86344,22.21789
shape_76-1,23,-97.86839,22.22008
shape_76-1,24,-97.8685,22.22004
shape_76-1,25,-97.86874,22.22053
shape_76-1,26,-97.86899,22.2213
shape_76-1,27,-97.87005,22.22454
shape_76-1,28,-97.87063,22.22436
shape_76-1,29,-97.87167,22.22623
shape_76-1,30,-97.87157,22.22686
shape_76-1,31,-97.87129,22.2268
shape_81-1,0,-97.83941,22.22638
shape_81-1,1,-97.84048,22.22679
shape_81-1,2,-97.8403,22.22605
shape_81-1,3,-97.84149,22.22387
shape_81-1,4,-97.84061,22.2235
shape_81-1,5,-97.84104,22.22272
shape_81-1,6,-97.84017,22.22235
shape_81-1,7,-97.84428,22.2145
shape_81-1,8,-97.84554,22.21402
shape_81-1,9,-97.84572,22.21381
shape_81-1,10,-97.84736,22.21457
shape_81-1,11,-97.84945,22.21055
shape_81-1,12,-97.85287,22.21211
shape_81-1,13,-97.85304,22.21184
shape_81-1,14,-97.85484,22.21227
shape_81-1,15,-97.8558,22.21245
shape_81-1,16,-97.85753,22.2132
shape_81-1,17,-97.85753,22.2132
shape_81-1,18,-97.8563,22.21561
shape_81-1,19,-97.8537,22.21444
shape_81-1,20,-97.85205,22.21371
shape_81-1,21,-97.85058,22.21306
shape_81-1,22,-97.84866,22.21218
