route_id,direction_id,shape_id,service_id,trip_id
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_1
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_2
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_3
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_4
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_5
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_6
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_7
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_8
r100A,1,shape_100A-1,srv1111111,r100A_trip_00_9
r100,1,shape_100-1,srv1111111,r100_trip_00_1
r100,1,shape_100-1,srv1111111,r100_trip_00_2
r100,1,shape_100-1,srv1111111,r100_trip_00_3
r100,1,shape_100-1,srv1111111,r100_trip_00_4
r100,1,shape_100-1,srv1111111,r100_trip_00_5
r100,1,shape_100-1,srv1111111,r100_trip_00_6
r100,1,shape_100-1,srv1111111,r100_trip_00_7
r100,1,shape_100-1,srv1111111,r100_trip_00_8
r100,1,shape_100-1,srv1111111,r100_trip_00_9
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_1
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_2
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_3
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_4
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_5
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_6
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_7
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_8
r101A,1,shape_101A-1,srv1111111,r101A_trip_00_9
r101,1,shape_101-1,srv1111111,r101_trip_00_1
r101,1,shape_101-1,srv1111111,r101_trip_00_2
r101,1,shape_101-1,srv1111111,r101_trip_00_3
r101,1,shape_101-1,srv1111111,r101_trip_00_4
r101,1,shape_101-1,srv1111111,r101_trip_00_5
r101,1,shape_101-1,srv1111111,r101_trip_00_6
r101,1,shape_101-1,srv1111111,r101_trip_00_7
