stop_id,stop_name,stop_lon,stop_lat,route,sequence
st_r7_shape_7_0000,st_r7_shape_7_0000,-97.8532,22.21717,r7,0
st_r7_shape_7_0001,st_r7_shape_7_0001,-97.8528776586033,22.2159275878529,r7,1
st_r7_shape_7_0002,st_r7_shape_7_0002,-97.8537669347945,22.2143219669066,r7,2
st_r7_shape_7_0003,st_r7_shape_7_0003,-97.8546561900845,22.2127163399301,r7,3
st_r7_shape_7_0004,st_r7_shape_7_0004,-97.8556955204287,22.2127802255778,r7,4
st_r7_shape_7_0005,st_r7_shape_7_0005,-97.8548176912004,22.2143912954362,r7,5
st_r7_shape_7_0006,st_r7_shape_7_0006,-97.8539398412516,22.2160023593953,r7,6
st_r7_shape_7_0007,st_r7_shape_7_0007,-97.8530628707427,22.2176138414862,r7,7
st_r7_shape_7_0008,st_r7_shape_7_0008,-97.8521889698713,22.2192267734365,r7,8
st_r7_shape_7_0009,st_r7_shape_7_0009,-97.8513150483356,22.2208396995293,r7,9
st_r7_shape_7_0010,st_r7_shape_7_0010,-97.8504411061329,22.2224526197632,r7,10
st_r7_shape_7_0011,st_r7_shape_7_0011,-97.8495671432608,22.2240655341373,r7,11
st_r7_shape_7_0012,st_r7_shape_7_0012,-97.8487057798087,22.2256842748492,r7,12
st_r7_shape_7_0013,st_r7_shape_7_0013,-97.8478544317886,22.2273076478096,r7,13
st_r7_shape_7_0014,st_r7_shape_7_0014,-97.8470557520627,22.2289536180993,r7,14
st_r7_shape_7_0015,st_r7_shape_7_0015,-97.8467613517352,22.2306844530958,r7,15
st_r7_shape_7_0016,st_r7_shape_7_0016,-97.8476218996794,22.2322710609288,r7,16
st_r7_shape_7_0017,st_r7_shape_7_0017,-97.8485128925473,22.2338719875384,r7,17
st_r7_shape_7_0018,st_r7_shape_7_0018,-97.8490821407688,22.2355976570896,r7,18
st_r7_shape_7_0019,st_r7_shape_7_0019,-97.8500019494894,22.2371262766742,r7,19
st_r7_shape_7_0020,st_r7_shape_7_0020,-97.8518462777973,22.2376879588293,r7,20
st_r7_shape_7_0021,st_r7_shape_7_0021,-97.8532453172312,22.238909369371,r7,21
st_r7_shape_7_0022,st_r7_shape_7_0022,-97.8539750974262,22.2405681574203,r7,22
st_r7_shape_7_0023,st_r7_shape_7_0023,-97.8549768791096,22.2420950472728,r7,23
st_r7_shape_7_0024,st_r7_shape_7_0024,-97.8553897331847,22.2438229867238,r7,24
st_r7_shape_7_0025,st_r7_shape_7_0025,-97.8551901434409,22.245619123692,r7,25
st_r7_shape_7_0026,st_r7_shape_7_0026,-97.8550199963657,22.2474049139783,r7,26
st_r7_shape_7_0027,st_r7_shape_7_0027,-97.8547010129235,22.2491110008738,r7,27
st_r7_shape_7_0028,st_r7_shape_7_0028,-97.8546466759936,22.2508471967286,r7,28
st_r7_shape_7_0029,st_r7_shape_7_0029,-97.8539498656807,22.2525266688616,r7,29
st_r7_shape_7_0030,st_r7_shape_7_0030,-97.8533297144001,22.2542384333962,r7,30
st_r7_shape_7_0031,st_r7_shape_7_0031,-97.8526877219297,22.2559432740929,r7,31
st_r7_shape_7_0032,st_r7_shape_7_0032,-97.852041429608,22.2576467079361,r7,32
st_r7_shape_7_0033,st_r7_shape_7_0033,-97.8513947767889,22.2593500255048,r7,33
st_r7_shape_7_0034,st_r7_shape_7_0034,-97.8507481074344,22.2610533394856,r7,34
st_r7_shape_7_0035,st_r7_shape_7_0035,-97.8501014215421,22.2627566498777,r7,35
st_r7_shape_7_0036,st_r7_shape_7_0036,-97.84945471911,22.2644599566805,r7,36
st_r7_shape_7_0037,st_r7_shape_7_0037,-97.8488080001358,22.2661632598933,r7,37
st_r7_shape_7_0038,st_r7_shape_7_0038,-97.8481612646173,22.2678665595155,r7,38
st_r7_shape_7_0039,st_r7_shape_7_0039,-97.8475145125524,22.2695698555463,r7,39
